iteration,timestamp,breakout_window,take_profit,stop_loss,vol_mult,max_hold_bars,n_trades,win_rate,gross_pnl,total_slippage,total_gas,net_pnl,cagr,sharpe,max_dd,sortino,gate_passed,notes
430,2026-09-18T00:29:13.576603,20,0.12,0.06,3.0,120,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
431,2026-09-18T00:29:14.055686,20,0.12,0.06,3.0,180,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
432,2026-09-18T00:29:14.399043,20,0.12,0.06,3.0,240,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
433,2026-09-18T00:29:14.716744,20,0.15,0.02,1.5,60,569,4.92,423.53,3421.55,569.0,-3567.02,-91.27,-56.03,-34.68,-15.29,False,
434,2026-09-18T00:29:14.963919,20,0.15,0.02,1.5,120,566,5.12,439.49,3412.24,566.0,-3538.76,-91.05,-54.55,-34.39,-15.26,False,
435,2026-09-18T00:29:15.193867,20,0.15,0.02,1.5,180,566,5.12,439.49,3412.24,566.0,-3538.76,-91.05,-54.55,-34.39,-15.26,False,
436,2026-09-18T00:29:15.428391,20,0.15,0.02,1.5,240,566,5.12,439.49,3412.24,566.0,-3538.76,-91.05,-54.55,-34.39,-15.26,False,
437,2026-09-18T00:29:15.670344,20,0.15,0.02,2.0,60,140,6.43,192.16,991.61,140.0,-939.45,-42.06,-24.23,-9.09,-13.35,False,
438,2026-09-18T00:29:15.907789,20,0.15,0.02,2.0,120,140,7.14,208.45,993.19,140.0,-924.74,-41.52,-23.69,-8.94,-13.26,False,
439,2026-09-18T00:29:16.136008,20,0.15,0.02,2.0,180,140,7.14,208.45,993.19,140.0,-924.74,-41.52,-23.69,-8.94,-13.26,False,
440,2026-09-18T00:29:16.366423,20,0.15,0.02,2.0,240,140,7.14,208.45,993.19,140.0,-924.74,-41.52,-23.69,-8.94,-13.26,False,
441,2026-09-18T00:29:16.604596,20,0.15,0.02,2.5,60,51,9.8,100.4,373.19,51.0,-323.79,-16.78,-14.3,-3.16,-10.82,False,
442,2026-09-18T00:29:16.849577,20,0.15,0.02,2.5,120,51,11.76,116.79,373.98,51.0,-308.2,-16.01,-12.59,-3.0,-10.27,False,
443,2026-09-18T00:29:17.081881,20,0.15,0.02,2.5,180,51,11.76,116.79,373.98,51.0,-308.2,-16.01,-12.59,-3.0,-10.27,False,
444,2026-09-18T00:29:17.317175,20,0.15,0.02,2.5,240,51,11.76,116.79,373.98,51.0,-308.2,-16.01,-12.59,-3.0,-10.27,False,
445,2026-09-18T00:29:17.568719,20,0.15,0.02,3.0,60,22,4.55,32.07,162.04,22.0,-151.97,-7.96,-10.88,-1.51,-9.2,False,
446,2026-09-18T00:29:17.814900,20,0.15,0.02,3.0,120,22,4.55,32.07,162.04,22.0,-151.97,-7.96,-10.88,-1.51,-9.2,False,
447,2026-09-18T00:29:18.074851,20,0.15,0.02,3.0,180,22,4.55,32.07,162.04,22.0,-151.97,-7.96,-10.88,-1.51,-9.2,False,
448,2026-09-18T00:29:18.333690,20,0.15,0.02,3.0,240,22,4.55,32.07,162.04,22.0,-151.97,-7.96,-10.88,-1.51,-9.2,False,
449,2026-09-18T00:29:18.569938,20,0.15,0.04,1.5,60,569,4.92,423.53,3421.55,569.0,-3567.02,-91.27,-56.03,-34.68,-15.29,False,
450,2026-09-18T00:29:18.809520,20,0.15,0.04,1.5,120,566,5.12,439.49,3412.24,566.0,-3538.76,-91.05,-54.55,-34.39,-15.26,False,
451,2026-09-18T00:29:19.050007,20,0.15,0.04,1.5,180,566,5.12,439.49,3412.24,566.0,-3538.76,-91.05,-54.55,-34.39,-15.26,False,
452,2026-09-18T00:29:19.295242,20,0.15,0.04,1.5,240,566,5.12,439.49,3412.24,566.0,-3538.76,-91.05,-54.55,-34.39,-15.26,False,
453,2026-09-18T00:29:19.552618,20,0.15,0.04,2.0,60,140,6.43,192.16,991.61,140.0,-939.45,-42.06,-24.23,-9.09,-13.35,False,
454,2026-09-18T00:29:19.814871,20,0.15,0.04,2.0,120,140,7.14,208.45,993.19,140.0,-924.74,-41.52,-23.69,-8.94,-13.26,False,
455,2026-09-18T00:29:20.076657,20,0.15,0.04,2.0,180,140,7.14,208.45,993.19,140.0,-924.74,-41.52,-23.69,-8.94,-13.26,False,
456,2026-09-18T00:29:20.334262,20,0.15,0.04,2.0,240,140,7.14,208.45,993.19,140.0,-924.74,-41.52,-23.69,-8.94,-13.26,False,
457,2026-09-18T00:29:20.593671,20,0.15,0.04,2.5,60,51,9.8,100.4,373.19,51.0,-323.79,-16.78,-14.3,-3.16,-10.82,False,
458,2026-09-18T00:29:20.853116,20,0.15,0.04,2.5,120,51,11.76,116.79,373.98,51.0,-308.2,-16.01,-12.59,-3.0,-10.27,False,
